player,playerid,strike
jboogiew13,76561199642045682,2
skittles4everrr,76561199601483589,1
Perry,76561198884915402,1
Design/Destroyer,76561198853355624,1
ATTACKER RED BOY,76561199756520278,8
seanolozano,76561199160931336,1
FRIGADEL,76561199516992359,1
spy,76561199105320844,3
COPIUM,76561199467382435,1
Khan,76561199554769462,1
SoulFire,76561198030841839,1
sonzilla.18,76561199691057256,8
kirazarene,76561199151835704,1
VerseKids3,76561198422461051,2
2am_Voltzx,76561199568411698,1
BOBER,76561199178189471,4
Archie & Dad,76561197974104448,1
СЫН КОСМОДРОМА,76561198073991514,1
Plochek,76561198837143757,3
garymocock69,76561198066671470,2
[ST73] Ober,76561198976343412,1
BumBum,76561197986603783,1
xx_Weihnachtmann_ x,76561199563097572,3
P.Diddy.Official,76561199470634616,1
kamień,76561199508098479,3
not gaming,76561199152759507,1
Fazejam,76561199627559643,1
Ешкере,76561199405350730,3
remuru,76561198984294911,1
Shiloh Angel,76561199257349883,3
Stout Shako for 2 Re,76561198043695722,5
pclaugher,76561198163118290,2
Dark Bucket,76561199448215675,1
Kon (Aon),76561199453319132,5
GrandJ,76561199733721237,2
berryhillclb,76561199520490561,1
supertechxter,76561199030147227,1
Robo,76561199241809042,2
scholar30,76561199472051578,3
alex.fgm07,76561198817726286,2
GoldMiner9878,76561199235420201,2
The guy who fell,76561199454022237,1
prkligel,76561199062026741,2
"да я пидорас, а чт",76561199041368921,3
JohnBrickDaGreg,76561198993041956,1
ItalianSnausage,76561199120175367,1
tomjamesonwest,76561199557140247,1
xlewless,76561199091618723,7
diegonz0909,76561199056252130,3
LikeAJames,76561199166410670,2
stuffedcrust,76561197971689255,4
LetsPartyDoc,76561198022189212,1
P_Real,76561199493513640,2
stibbel,76561199800917125,1
torosar,76561198976147482,3
constantin6667daysto,76561199621540830,3
mpullman120,76561199139302278,1
2Fast4U,76561198850084903,1
Andromwda,76561199260329011,1
shawncorradovr6,76561198166742922,3
umrage,76561199124986603,1
rus-ni.peace-da.,76561198927604517,1
jamievivence,76561199516181392,1
jamesdaniels14,76561199776892917,3
Borssus,76561199547897616,5
mr6chelovek9,76561199441635595,1
Qw3rTy_sk1ppEr,76561199223535441,3
TYROS,76561198982329720,3
andrea.drenzek,76561199343593600,3
Coffee,76561199089698217,1
tricky2676,76561198905954984,9
kim,76561199577201653,3
Dave the magical che,76561199483611478,3
nury,76561199467444222,2
binger,76561198241974180,1
